State_FIPS,County_FIPS,CountName,SNAP2010,SNAP2000
05,063,"Independence County, AR",5226,3285
05,065,"Izard County, AR",1899,1118
05,067,"Jackson County, AR",3691,2560
05,069,"Jefferson County, AR",19785,13994
05,071,"Johnson County, AR",4409,2106
05,073,"Lafayette County, AR",1945,1620
05,075,"Lawrence County, AR",3055,2317
05,077,"Lee County, AR",2945,2985
05,079,"Lincoln County, AR",2627,1660
05,081,"Little River County, AR",2407,1310
05,083,"Logan County, AR",4753,2309
05,085,"Lonoke County, AR",8279,2865
05,087,"Madison County, AR",2426,1072
05,089,"Marion County, AR",3110,1482
05,091,"Miller County, AR",8331,5144
05,093,"Mississippi County, AR",11939,8529
05,095,"Monroe County, AR",2196,2053
05,097,"Montgomery County, AR",1512,601
05,099,"Nevada County, AR",1889,1051
05,101,"Newton County, AR",1654,1204
05,103,"Ouachita County, AR",5906,4147
05,105,"Perry County, AR",1687,702
05,107,"Phillips County, AR",8646,8321
05,109,"Pike County, AR",1857,748
05,111,"Poinsett County, AR",6195,3515
05,113,"Polk County, AR",4043,1955
05,115,"Pope County, AR",8368,4548
05,117,"Prairie County, AR",1395,847
05,119,"Pulaski County, AR",60881,28212
05,121,"Randolph County, AR",3273,2311
05,123,"St. Francis County, AR",8017,6538
05,125,"Saline County, AR",10817,3107
05,127,"Scott County, AR",2595,1227
05,129,"Searcy County, AR",1660,906
05,131,"Sebastian County, AR",20110,8339
05,133,"Sevier County, AR",3123,1148
05,135,"Sharp County, AR",3129,1917
05,137,"Stone County, AR",2179,989
05,139,"Union County, AR",8832,5074
05,141,"Van Buren County, AR",2981,1550
05,143,"Washington County, AR",26380,7745
05,145,"White County, AR",10574,5081
05,147,"Woodruff County, AR",1968,1915
05,149,"Yell County, AR",3328,1363
06,000,California,3574897,1690077
06,001,"Alameda County, CA",106631,57417
06,003,"Alpine County, CA",151,83
06,005,"Amador County, CA",2708,858
06,007,"Butte County, CA",26476,16753
06,009,"Calaveras County, CA",4407,1730
06,011,"Colusa County, CA",1629,738
06,013,"Contra Costa County, CA",60748,23895
06,015,"Del Norte County, CA",5358,2900
06,017,"El Dorado County, CA",10177,3247
06,019,"Fresno County, CA",204523,77221
06,021,"Glenn County, CA",3282,2197
06,023,"Humboldt County, CA",14621,8951
06,025,"Imperial County, CA",33697,14468
06,027,"Inyo County, CA",1714,900
06,029,"Kern County, CA",132714,52766
06,031,"Kings County, CA",21852,10118
06,033,"Lake County, CA",8876,4162
06,035,"Lassen County, CA",3181,1896
06,037,"Los Angeles County, CA",971030,618706
06,039,"Madera County, CA",24320,11481
06,041,"Marin County, CA",7561,2587
06,043,"Mariposa County, CA",1527,763
06,045,"Mendocino County, CA",12734,6032
06,047,"Merced County, CA",49693,23513
06,049,"Modoc County, CA",1152,886
06,051,"Mono County, CA",582,191
06,053,"Monterey County, CA",36029,14297
06,055,"Napa County, CA",6225,1690
06,057,"Nevada County, CA",5552,1718
06,059,"Orange County, CA",170556,63097
06,061,"Placer County, CA",14805,3792
06,063,"Plumas County, CA",1265,640
06,065,"Riverside County, CA",220147,58746
06,067,"Sacramento County, CA",189871,104349
06,069,"San Benito County, CA",6018,1673
06,071,"San Bernardino County, CA",312677,124376
06,073,"San Diego County, CA",193580,80702
06,075,"San Francisco County, CA",44044,21149
06,077,"San Joaquin County, CA",92086,43909
06,079,"San Luis Obispo County, CA",15455,6042
06,081,"San Mateo County, CA",20340,4627
06,083,"Santa Barbara County, CA",29619,12580
06,085,"Santa Clara County, CA",96329,33996
06,087,"Santa Cruz County, CA",19862,8226
06,089,"Shasta County, CA",22251,13465
06,091,"Sierra County, CA",267,113
06,093,"Siskiyou County, CA",5660,3368
06,095,"Solano County, CA",36782,13838
06,097,"Sonoma County, CA",27643,7478
06,099,"Stanislaus County, CA",78688,33268
06,101,"Sutter County, CA",10879,4407
06,103,"Tehama County, CA",9189,4414
06,105,"Trinity County, CA",1416,861
06,107,"Tulare County, CA",103883,41872
06,109,"Tuolumne County, CA",5142,2358
06,111,"Ventura County, CA",58796,20436
06,113,"Yolo County, CA",15342,7201
06,115,"Yuba County, CA",13154,6929
08,000,Colorado,441346,152198
08,001,"Adams County, CO",46799,10918
08,003,"Alamosa County, CO",3508,1870
08,005,"Arapahoe County, CO",44928,9928
08,007,"Archuleta County, CO",1027,391
08,009,"Baca County, CO",424,256
08,011,"Bent County, CO",927,630
08,013,"Boulder County, CO",14831,5336
08,014,"Broomfield County, CO",1896,
08,015,"Chaffee County, CO",1090,472
08,017,"Cheyenne County, CO",121,81
08,019,"Clear Creek County, CO",607,184
08,021,"Conejos County, CO",1744,1446
08,023,"Costilla County, CO",893,832
08,025,"Crowley County, CO",761,651
08,027,"Custer County, CO",424,159
08,029,"Delta County, CO",3219,1691
08,031,"Denver County, CO",78759,35715
08,033,"Dolores County, CO",151,115
08,035,"Douglas County, CO",5422,158
08,037,"Eagle County, CO",1229,190
08,039,"Elbert County, CO",1008,244
08,041,"El Paso County, CO",62011,19000
08,043,"Fremont County, CO",4733,1873
08,045,"Garfield County, CO",4183,998
08,047,"Gilpin County, CO",400,76
08,049,"Grand County, CO",566,145
08,051,"Gunnison County, CO",736,274
08,053,"Hinsdale County, CO",25,11
08,055,"Huerfano County, CO",1422,767
08,057,"Jackson County, CO",142,70
08,059,"Jefferson County, CO",28913,7325
08,061,"Kiowa County, CO",97,60
08,063,"Kit Carson County, CO",546,231
08,065,"Lake County, CO",678,176
08,067,"La Plata County, CO",3390,1441
08,069,"Larimer County, CO",21205,5951
08,071,"Las Animas County, CO",2485,1364
08,073,"Lincoln County, CO",409,195
08,075,"Logan County, CO",2126,895
08,077,"Mesa County, CO",14766,6345
08,079,"Mineral County, CO",24,38
08,081,"Moffat County, CO",1567,617
08,083,"Montezuma County, CO",3034,1753
08,085,"Montrose County, CO",5699,1418
08,087,"Morgan County, CO",2828,1235
08,089,"Otero County, CO",3598,2704
08,091,"Ouray County, CO",222,51
08,093,"Park County, CO",1022,132
08,095,"Phillips County, CO",320,156
08,097,"Pitkin County, CO",183,28
08,099,"Prowers County, CO",2381,1504
08,101,"Pueblo County, CO",31260,14466
